NAME,POPULATION,CITY,STATE,COUNTY,COUNTYFIPS,INST_SIZE,TOT_ENROLL,TOT_EMP
SUNY COLLEGE OF TECHNOLOGY AT CANTON,3751,CANTON,NY,ST. LAWRENCE,36089,2,3223,528
INTER AMERICAN UNIVERSITY OF PUERTO RICO-SCHOOL OF OPTOMETRY,301,BAYAMON,PR,BAYAMÓN,72021,1,221,80
PACIFIC NORTHWEST COLLEGE OF ART,858,PORTLAND,OR,MULTNOMAH,41051,1,650,208
OREGON COLLEGE OF ORIENTAL MEDICINE,382,PORTLAND,OR,MULTNOMAH,41051,1,229,153
RUTGERS UNIVERSITY-CAMDEN,8581,CAMDEN,NJ,CAMDEN,34007,3,7233,1348
MACHZIKEI HADATH RABBINICAL COLLEGE,153,BROOKLYN,NY,KINGS,36047,1,138,15
ITHACA COLLEGE,7957,ITHACA,NY,TOMPKINS,36109,3,6266,1691
MORRIS COLLEGE,796,SUMTER,SC,SUMTER,45085,1,600,196
EDWARD WATERS COLLEGE,3331,JACKSONVILLE,FL,DUVAL,12031,2,3085,246
SOUTHERN UNIVERSITY AT NEW ORLEANS,2645,NEW ORLEANS,LA,ORLEANS,22071,2,2309,336
COVENANT THEOLOGICAL SEMINARY,623,SAINT LOUIS,MO,ST. LOUIS,29189,1,522,101
MANHATTAN COLLEGE,4982,RIVERDALE,NY,BRONX,36005,2,4117,865
AUBURN UNIVERSITY,37066,AUBURN,AL,LEE,01081,5,30460,6606
JUDSON COLLEGE,390,MARION,AL,PERRY,01105,1,250,140
UNIVERSITY OF THE OZARKS,999,CLARKSVILLE,AR,JOHNSON,05071,1,824,175
SCHILLER INTERNATIONAL UNIVERSITY,33,LARGO,FL,PINELLAS,12103,1,9,24
WARTBURG COLLEGE,1940,WAVERLY,IA,BREMER,19017,2,1505,435
PACIFIC COLLEGE OF HEALTH SCIENCE-CHICAGO,239,CHICAGO,IL,COOK,17031,1,188,51
STEVENS-HENAGER COLLEGE,55,LOGAN,UT,CACHE,49005,1,34,21
CALIFORNIA STATE UNIVERSITY-FULLERTON,44167,FULLERTON,CA,ORANGE,06059,5,40445,3722
GREENVILLE UNIVERSITY,1450,GREENVILLE,IL,BOND,17005,2,1092,358
AMERICAN BAPTIST SEMINARY OF THE WEST,65,BERKELEY,CA,ALAMEDA,06001,1,39,26
LIFE UNIVERSITY,3269,MARIETTA,GA,COBB,13067,2,2724,545
LEWIS-CLARK STATE COLLEGE,4278,LEWISTON,ID,NEZ PERCE,16069,2,3748,530
GLENVILLE STATE COLLEGE,1842,GLENVILLE,WV,GILMER,54021,2,1575,267
WESTERN COLORADO UNIVERSITY,3888,GUNNISON,CO,GUNNISON,08051,2,3487,401
UNIVERSITY OF DENVER,16249,DENVER,CO,DENVER,08031,4,12931,3318
SOUTHWESTERN ASSEMBLIES OF GOD UNIVERSITY,2357,WAXAHACHIE,TX,ELLIS,48139,2,2050,307
THE UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,5242,GALVESTON,TX,GALVESTON,48167,2,3354,1888
TEXAS HEALTH AND SCIENCE UNIVERSITY,113,AUSTIN,TX,TRAVIS,48453,1,89,24
