ENSEMBL	X1_CTR_BC_2	X2_TGF_BC_4	X3_IR_BC_5	X4_CTR_BC_6	X5_TGF_BC_7	X6_IR_BC_12	X7_CTR_BC_13	X8_TGF_BC_14	X9_IR_BC_15
ENSG00000015413	1	0	0	4	7	0	0	0	0
ENSG00000015475	1753	1560	1694	1872	1325	1632	1591	1601	1913
ENSG00000015479	12995	13513	9601	12639	12389	9158	11934	11248	9446
ENSG00000015520	24	1	3	13	4	9	12	6	11
ENSG00000015532	934	1196	1001	1031	923	921	709	1321	1262
ENSG00000015568	265	232	283	275	301	236	368	180	308
ENSG00000015592	2	0	1	2	2	0	1	1	0
ENSG00000015676	2079	2436	2051	2032	1992	1949	1485	2317	2221
ENSG00000016082	53	49	69	62	32	62	66	57	56
ENSG00000016391	31	42	12	28	32	12	46	51	12
ENSG00000016402	5	2	1	2	10	10	0	2	1
ENSG00000016490	0	1	0	0	0	0	2	0	0
ENSG00000016602	0	0	0	0	0	0	0	0	0
ENSG00000016864	3986	4152	3101	4026	3761	3076	3797	3730	3229
ENSG00000017260	9860	7062	9892	9607	6693	9342	8966	6618	9831
ENSG00000017427	2	85	0	3	71	0	0	34	3
ENSG00000017483	115	299	59	166	273	59	122	264	99
ENSG00000017797	3176	3504	3114	3463	3005	2902	3162	3104	3358
ENSG00000018189	1410	1590	1171	1595	1478	1097	1496	1334	1315
ENSG00000018236	0	2	14	1	1	4	0	4	8
ENSG00000018280	36	51	18	15	52	19	36	34	35
ENSG00000018408	6194	6177	3962	5472	5822	3420	5123	5024	4115
ENSG00000018510	1638	1819	1280	1709	1833	1509	1619	1473	1603
ENSG00000018607	0	0	0	0	0	0	0	0	0
ENSG00000018610	597	682	528	686	571	483	583	577	511
ENSG00000018625	4	9	1	1	5	7	0	13	3
ENSG00000018699	823	959	718	870	917	696	822	873	713
ENSG00000018869	107	110	87	106	115	109	119	83	143
ENSG00000019102	0	3	0	1	0	0	0	0	0
ENSG00000019144	4001	5300	2533	4137	4166	2628	3016	5101	3073
ENSG00000019169	0	0	0	0	0	0	0	0	0
ENSG00000019186	2	1	1	4	0	1	0	1	8
ENSG00000019485	435	521	306	389	463	289	348	514	382
ENSG00000019505	0	1	0	0	1	4	1	0	3
ENSG00000019549	2847	3506	1956	3091	3358	1944	3063	3060	1951
ENSG00000019582	264	171	74	246	129	124	222	206	135
ENSG00000019991	4556	1791	1208	4365	1872	1325	4003	1878	1270
ENSG00000019995	1608	1455	1304	1619	1349	1304	1598	1319	1419
ENSG00000020129	1248	1428	1226	1200	1028	1113	884	1404	1536
ENSG00000020181	9620	12934	4642	10008	10432	4562	7218	12574	5402
ENSG00000020219	0	0	0	0	0	0	0	0	0
ENSG00000020256	650	942	521	710	731	477	543	853	553
ENSG00000020426	994	950	893	1130	961	887	1058	790	917
ENSG00000020577	5080	4311	6368	5232	3840	6015	4939	4124	6850
ENSG00000020633	857	903	359	872	756	444	581	903	497
ENSG00000020922	1061	1133	819	1023	1138	941	1051	1003	922
ENSG00000021300	12	4	11	8	10	13	8	16	5
ENSG00000021355	1340	979	1154	1415	863	1143	1280	878	1336
ENSG00000021461	0	0	1	1	3	7	3	0	11
ENSG00000021488	7	10	3	8	5	9	8	8	7
ENSG00000021574	1156	1195	939	1107	1176	939	1022	987	787
ENSG00000021645	22	68	16	32	51	22	33	39	20
ENSG00000021762	1288	1403	753	1245	1198	726	913	1477	882
ENSG00000021776	2319	2473	1830	2252	2346	1743	2258	2125	1856
ENSG00000021826	343	511	156	266	418	130	420	384	168
ENSG00000021852	0	0	1	0	0	1	0	0	1
ENSG00000022267	30941	20082	50454	32184	18723	47056	29322	21426	54074
ENSG00000022277	3528	3788	3545	3482	3476	3416	3095	3379	3639
ENSG00000022355	0	2	6	2	2	1	2	4	0
ENSG00000022556	1	4	4	7	2	2	5	1	4
ENSG00000022567	259	321	210	310	251	234	219	317	214
ENSG00000022840	4978	5596	5308	5128	5053	4888	4385	5493	5734
ENSG00000022976	316	393	260	306	304	248	291	378	281
ENSG00000023041	1789	1881	1439	1912	1730	1157	1588	1586	1379
ENSG00000023171	560	552	633	669	533	679	590	574	688
ENSG00000023191	3217	4256	2834	3198	3188	2437	2143	4394	3449
ENSG00000023228	3939	3811	3530	3669	3659	3534	3455	3350	3836
ENSG00000023287	3802	3806	3255	4152	3614	3254	4298	2995	3549
ENSG00000023318	4844	4320	3548	5009	4250	3752	4744	3823	3509
ENSG00000023330	1733	1718	1504	1753	1580	1562	1461	1605	1797
ENSG00000023445	1047	1165	867	1101	1118	825	1078	894	712
ENSG00000023516	3253	3349	2864	3436	3162	2863	3183	2778	3674
ENSG00000023572	460	519	509	516	567	470	532	472	471
